"","K562","HumanAstroCulture","HumanNeuronCulture","HumanInterneuronCulture"
"HumanBrainATACNarrowPeaks_CerebellumMaleAdult20years",-0.118356655252494,-0.210179964833536,-0.0742835094336165,-0.526087680122586
"HumanBrainDNaseNarrowPeaks_CerebellumAstrocyte",0.0626589998443521,0.145627758901636,0.146156368291162,-0.28057771940156
"HumanBrainDNaseNarrowPeaks_HippocampusAstrocyte",0.0323780873755943,0.0916393847090227,0.13473977979967,-0.271976596576714
"HumanBrainDNaseNarrowPeaks_MicrovascularEndothelialCell",0.0579261065421584,0.118845503114446,0.109202619857637,-0.304658095214759
"HumanBrainDNaseNarrowPeaks_ChoroidPlexusEpithelialCell",0.0374103829196883,0.0645310096932121,0.0736529158412864,-0.272063980172526
"HumanBrainDNaseNarrowPeaks_Pericyte",0.134806051292951,0.350207026497255,0.312441382785881,-0.275013668057746
"HumanBrainFAIRENarrowPeaks_Astrocyte",-0.222782496285557,-0.625887283198999,-0.291953157816472,-0.504708276687175
"HumanNonBDNAPeaks_Inverted",-0.0555423960995682,-0.135804802915182,-0.100671284591897,-0.120018127149233
"HumanNonBDNAPeaks_Direct",0.576736772055067,1.25274133791573,1.42901472720633,0.961735419534019
"HumanNonBDNAPeaks_GQuadruplexForming",0.273674835145588,0.301143038339596,0.552984210936518,0.405041788569484
"HumanNonBDNAPeaks_Mirror",0.274106573600999,0.0683621010550581,0.402405267008415,0.36627014978491
"HumanNonBDNAPeaks_ZDNAMotifs",0.172580091418951,-0.247312569218138,0.309821405381939,0.269474070212862
"HumanNonBDNAPeaks_ShortTandem",0.457447430136305,0.877121167934042,1.02078163377524,0.661926479165739
"HumanNonBDNAPeaks_APhased",0.134664578912854,0.793961292305553,0.711398874904155,0.218549512339067
