"","NegCtrlNone","NegCtrlPooled","NegCtrlSingle","PositiveNone","PositivePooled","PositiveSingle"
"HBR",0,0,0,0,1,0
"HumanAstroCulture",0,0,0,0,2,5
"HumanInterneuronCulture",0,0,0,0,0,20
"HumanNeuronCulture",0,0,0,0,0,12
"K562",0,2,17,0,6,75
"K562MungBean",0,0,0,0,0,14
"K562TPA15min",0,0,0,0,0,5
"K562TPA1hr",0,0,0,0,0,5
"K562TPA24hr",0,0,0,0,0,5
"K562TPA2hr",0,0,0,0,0,13
"K562TPAnone",0,0,0,0,0,3
"MouseAstroCulture",0,1,5,0,3,35
"MouseCardiomyoCulture",0,0,0,0,2,20
"MouseCardiomyoSlice",0,1,0,0,1,0
"MouseInterneuronSlice",0,0,0,0,0,21
"MouseKidneyEpithelialCulture",0,0,0,0,1,8
"MouseLungEndothelialCulture",0,0,0,0,1,10
"MouseLungEpithelialCulture",0,0,0,0,1,11
"MouseNeuronCulture",0,1,7,0,3,111
"MouseNeuronSlice",0,1,0,0,2,26
"NoCell",11,0,0,2,0,0
"RatCardiomyoCulture",0,0,0,0,2,9
