"","Br39","Br41","Br42","BRP100","BRP40","BRP43","BRP131","BRP41","BRP42","BRP126","BRP174","BRP173","BRP176","BRP175","BRP178","BRP92","BRP70","BRP76","BRP71","BRP75","BRP90","BRP119","BRP261","BRP253","BRP264","BRP255","BRP251","BRP262","BRP263","BRP254","BRP252","BRP256","BRP259","BRP260","BRP88","BRP115","BRP89","BRP165","BRP163","BRP84","BRP166","BRP164","BRP180","BRP288","BRP289","BRP291","BRP106","BRP103","BRP105","BRP83","BRP113","BRP177","BRP104","BRP102","BRP169","BRP181","BRP171","BRP107","BRP187","BRP193","BRP293","BRP295","BRP307","BRP326","BRP318","BRP328","BRP316","BRP327","BRP329","BRP330","BRP319","BRP317","BRP235","BRP234","BRP371","BRP372","BRP373","BRP374","BRP385","BRP394","Brp404","Brp405","Brp415","BRP393","Brp401","Brp402","BRP336","BRP337","BRP346","BRP347","BRP356","BRP357","BRP367","BRP376","BRP377","BRP311","BRP312","BRP321","BRP331","BRP332","BRP386","BRP387","BRP396","BRP397","BRP406","BRP416","BRP417","BRP185","BRP298","BRP299","BRP219","BRP220","BRP221","BRP223","BRP227","BRP302","BRP303","BRP304","BRP305","BRP341","BRP217","BRP300","BRP301","BRP313","BRP314","BRP315","BRP324","BRP333","BRP335","BRP338","BRP340","BRP348","BRP352","BRP353","BRP354","BRP355","BRP361","BRP343","BRP345","BRP358","BRP349","BRP359","BRP360","BRP407","BRP243","BRP226","BRP218","BRP350","BRP363","BRP325","BRP334","BRP370","BRP378","BRP368","BRP369","BRP342","BRP344","BRP351","BRP388","BRP418","BRP379","BRP380","BRP410","BRP389","BRP390","BRP398","BRP224","BRP228","BRP364","BRP399","BRP400","BRP408","BRP409","BRP306","BRP308","BRP309","Brp419","BRP381","BRP382","BRP383","BRP391","BRP392","BRP412","BRP413","BRP420","BRP421","BRP422","BRP430"
"MT-ATP6",3674,26808,10655,302144,27070,35427,206249,139541,47940,67699,179144,310640,283114,109872,284596,209404,30609,31271,89492,42627,72482,78839,51642,197120,83172,132929,161024,87968,43044,243939,240148,101678,154252,124207,19866,18275,92797,29425,52240,80554,60712,56477,423324,71700,118943,80227,95641,74302,251232,38948,54474,62200,65944,197023,64785,212561,124972,55902,187603,245714,219622,212341,92881,359264,409450,429421,205467,162897,400191,69370,844553,279475,67479,105266,72878,377057,22301,150729,337813,363507,9454,982318,41885,105870,266688,269677,152207,31583,200557,121363,28167,157443,183183,131946,171424,111884,127939,452367,81609,546243,9693,511569,138333,429220,216006,254478,135322,207933,503553,274811,127707,138251,36233,203378,330360,62331,203116,81777,190477,287706,32238,189819,383829,76532,16089,151272,131094,185148,106832,181017,102721,210091,203075,260782,334361,125171,169531,190821,257338,76275,26920,118724,48921,88676,276165,956679,36431,127802,27834,20778,151247,19617,10475,158023,174739,139695,294271,200199,81944,221863,31292,352365,124694,566939,206921,474306,265259,945571,284991,309474,396593,57242,92617,107534,315825,124052,392165,141853,45436,70147,101102,309807,69571,14067,110811,13912,24924,500861
"MT-ATP8",19,3109,771,609,145,172,3048,625,320,1377,497,1864,1010,502,2568,1319,446,293,618,491,347,116,382,2543,597,962,1140,410,194,884,1146,734,1167,1121,537,612,962,88,453,887,762,88,3628,257,417,118,123,232,658,154,121,165,204,348,305,1726,776,2020,1721,455,623,732,438,1313,1560,849,1225,435,1148,228,2284,1229,166,166,595,2488,724,720,1000,2030,564,5825,271,317,1004,1248,388,34,737,317,273,786,666,587,761,264,715,1472,268,1488,80,950,756,1879,762,972,425,1435,2075,1467,529,128,35,1875,757,729,521,408,812,621,293,72,662,75,21,94,60,81,121,123,51,195,404,558,1225,791,369,425,658,62,16,99,33,887,118,6212,56,52,276,7,99,266,71,431,532,213,848,407,153,581,27,874,335,1610,304,993,2297,4537,911,552,741,374,467,304,1844,1158,824,687,585,242,533,1080,625,236,276,107,85,311
"MT-CO1",13,1610,2948,246867,14526,12868,207010,71687,16919,34956,54348,173511,94226,40139,180120,143646,13846,10147,59097,9970,34879,11495,31445,256752,49329,61917,95166,63044,61919,101821,96947,71571,78947,75682,9662,9731,126835,14414,69180,43612,112038,43537,292541,29198,74916,20388,33634,31068,101946,24118,7896,62151,25456,40020,30901,94484,125759,43581,68265,108209,42019,29415,34178,70229,122357,42149,62352,43761,101160,38596,311580,181991,13157,10920,7649,10485,1727,8701,31358,61344,3532,175500,3938,1428,6483,4534,35967,13855,38697,35845,12041,6050,22915,26896,18228,26764,25757,39261,10455,65875,2479,41202,18047,57366,13289,31059,19653,203054,89948,118480,54518,255507,103543,124282,38088,5444,13777,83659,26700,23513,11811,23518,52266,7956,4007,17386,16694,31497,17306,23074,19154,37370,19204,19457,29598,3001,17853,19689,18664,11558,3876,12532,6852,8777,231051,350499,2073,21945,10459,4522,36714,6239,2410,23893,23196,12717,45365,20061,15959,15580,1495,51268,14924,156768,31114,55780,130530,286180,72691,22575,31230,8140,13412,39484,86188,34248,26726,5915,3903,2698,4390,16634,1996,655,3450,3625,3416,71598
"MT-CO2",148,1354,767,51668,1893,744,43881,5511,1422,15713,15841,37569,47055,19083,47673,30889,4670,2938,10248,3609,10946,16010,7188,38360,9258,13462,16087,7710,3880,12706,22357,12024,18615,10624,3986,6053,11801,5244,14449,8020,16214,9182,80930,5280,16887,2896,9129,6514,19147,4669,3897,8248,7170,17240,14649,27796,26779,9327,44553,33758,15286,12658,8315,33561,41734,20341,19805,11943,29488,7535,64468,46784,1115,1776,2704,2235,687,1394,5539,7637,667,19755,303,1115,2764,1214,4772,605,5019,9111,2021,2138,7965,9272,6341,3076,2759,6038,1400,13076,896,7416,4023,10489,3180,7931,3519,15251,13773,8779,26622,46403,37042,33931,27378,3768,2242,6294,4172,4049,4351,2210,6619,746,367,2103,1748,3887,3379,5070,3391,5364,3656,4787,5097,2496,4122,2303,4462,2307,498,1932,1618,2078,24986,136935,672,5435,1200,200,5063,588,165,5615,4941,2415,4280,2854,2998,1609,1032,11082,3855,13876,4690,7509,94872,99492,8912,5771,10502,1442,1250,8467,39990,7458,5404,2698,386,1322,750,4919,398,629,810,40,264,5593
"MT-CO3",2354,4777,7827,228688,44706,68289,113332,99204,29063,53245,95561,194189,160744,85196,164759,140241,30614,29238,118219,34586,39062,51511,91698,554918,143325,175462,339724,183343,127352,324782,418082,222790,179299,193089,22500,9747,149672,65424,143846,114641,130166,86359,407414,109056,192153,40217,342107,156970,360006,108075,145894,233418,143881,348533,116522,118287,317601,51230,267598,219061,411964,288309,162707,571437,747691,557108,567236,187531,781561,231931,1412330,678132,242128,273322,71144,180814,9275,122039,328373,382414,5272,918440,33046,38166,79604,79582,499481,171769,603909,522740,102946,77269,438769,378701,457867,139546,183733,679902,117932,639923,29709,661013,221373,863902,266687,666148,154615,344907,921045,799709,113765,203462,200310,160487,96374,235905,380029,410415,560910,563461,32065,574496,1133032,212194,71074,543753,608969,1067081,548277,685498,619538,843421,346355,458296,956625,209608,548951,599210,571636,334618,150853,487936,276129,120639,564346,438636,6093,602678,45753,86256,757335,38095,7982,271988,332670,329025,1073180,589664,185710,295983,37120,799781,326793,742726,419969,893526,257893,545889,612392,530941,776088,154048,145142,223280,511324,125786,508703,99983,33224,43314,107847,326386,36867,28838,58545,38996,18023,889677
"MT-CYB",2192,9050,592,176798,19402,21255,119469,120783,10341,31252,150930,516821,193139,111114,280344,141316,23445,12605,98615,12067,21634,75361,32562,228518,55745,49051,111429,46530,24406,101773,146009,59112,101469,70480,12256,9222,117123,40167,125770,38161,76206,68162,268666,50394,123498,34245,130334,93389,257750,35063,23491,138711,75730,173098,60240,175227,135278,45929,154821,245425,198607,136733,82251,312626,279525,349187,302813,90704,408448,65979,613980,409831,32371,52035,33603,293673,4897,130743,373770,219282,8426,660578,22559,60298,116462,101933,143230,42493,192527,141391,29174,97724,163070,199336,186729,73930,73998,234469,24407,244556,7145,257765,97515,300818,93918,259786,110150,344701,367014,260321,95983,313169,193161,170515,212706,87668,124259,234788,147734,174236,21345,226347,319244,61621,26931,115501,126793,257024,144174,279503,170092,306498,71885,143395,402809,48502,158621,127296,198314,110156,28326,157076,66012,44107,447182,728069,5712,159660,13087,19912,126821,9639,777,142976,144088,114864,232930,139215,65235,119880,24257,349857,77981,548606,154691,378990,183393,504933,259084,129939,195547,34306,59146,79678,183138,76446,180168,98758,21837,57653,68614,218254,27572,10212,84126,26104,12525,653722
"MT-ND1",416,4029,630,202457,8354,7344,79248,58837,19361,34956,35642,206579,124222,34665,162422,45185,12718,9000,39373,13577,17096,26000,20916,198669,30155,88090,116955,35174,16920,62919,102874,76901,56625,65240,7988,2350,43954,6450,20046,16285,33755,19975,158693,21149,34442,13576,14002,20077,50635,9022,8364,12560,17676,23569,11549,83878,59669,36929,55716,70079,3448,19528,9861,68589,54552,34036,40518,17404,41504,14077,93412,45032,7660,4795,4520,24637,3448,14800,40673,48668,3713,125777,11267,4472,12036,12327,8105,3152,13546,11745,3679,2190,13760,6785,9951,11953,12934,43448,8532,50026,2148,37361,23877,43631,24242,18146,18760,121925,98561,45547,48493,68508,33628,48155,70883,3448,3812,9395,7456,7066,10093,5027,24753,1385,372,4099,4603,4730,5453,8269,4769,4980,7997,10653,17014,2670,9984,7307,13806,2413,462,4878,2777,10585,63506,207684,3974,3394,7834,432,6498,3234,663,24994,25093,4913,8849,8368,10536,6577,2938,36069,17286,112670,17301,24934,81373,119128,32957,13012,17472,4126,19709,19333,45972,17935,12902,7672,2560,3669,8384,14325,3887,1474,5465,402,2448,18455
"MT-ND2",483,3341,344,40333,5710,6297,36099,23121,5664,11615,76477,235692,124529,37252,225081,19698,10029,5185,12259,8932,8379,7251,8846,103072,11905,34661,22656,14587,7100,18033,43767,25288,20248,22964,6273,7179,28797,10711,31065,17581,25857,33468,155215,23902,47727,23075,12093,16076,57452,11742,21258,24031,16350,23659,16749,136075,41293,30581,32183,102635,14860,10971,12725,66223,42177,28054,50671,17662,31134,20983,79828,31815,4176,3424,18302,19223,21806,10338,42165,58220,4304,182060,7033,3122,6325,27000,10855,1587,13359,5739,4430,5536,11412,5884,10557,12811,12541,43952,12656,44118,1881,23609,20042,43809,11215,11303,20348,124298,59328,33531,11326,56677,68410,44078,87919,6992,5909,6535,7719,9602,11099,5656,12363,1655,273,9236,1389,4902,3681,6108,3764,4532,13709,5573,13626,1300,4233,5108,6709,3793,2014,3265,2806,7794,104105,155820,706,1665,19686,694,6290,5569,3355,11166,15967,2135,10983,3011,8409,4896,569,42521,6219,63679,16114,27064,59003,188315,28297,11176,16923,2391,6138,21141,43531,14731,13594,6591,12798,6669,13996,15440,1741,3019,5921,2263,9328,51233
"MT-ND3",911,5130,16364,58905,5832,8362,37646,34301,8830,63298,48694,113966,90435,20306,226883,64574,12393,9415,29935,21973,22057,60961,21036,78330,19964,60765,42830,17146,4277,42555,75146,53638,45570,63038,8375,14319,41323,20232,91230,54466,46765,51901,149098,25729,45856,18968,42163,33552,110915,28435,22302,64531,50850,71040,58472,61457,103058,28857,95102,76570,26652,52197,23947,129418,115179,88152,40871,46309,86856,28912,136117,83216,37261,24463,45124,129508,13601,55903,61161,112107,3679,230366,8371,35418,92483,84267,43197,7938,33749,35448,8542,12351,62102,22683,43307,17204,20436,70711,14071,99712,2982,63520,25586,78083,25231,41108,33419,121159,74203,40308,40104,67460,32337,154640,136467,30184,31584,21268,50238,51289,38032,15878,49841,7408,1734,17199,15277,20949,17276,26193,12707,20581,30664,64264,63257,33766,54484,32818,55101,13080,4203,17918,7539,12542,84126,340516,6411,16174,6444,2731,21486,5251,1840,37435,44337,21248,56775,33371,17974,55551,3548,78734,27183,114581,42904,76752,102203,211010,71272,85156,72008,11627,9098,29241,106048,19646,60991,61000,27547,28669,55743,93646,26814,13017,38626,10594,10166,61251
"MT-ND4L",3,12,238,1420,235,430,6658,1120,608,1681,2365,2597,5472,1481,4187,4211,1161,645,3626,768,1228,115,1507,10662,2158,4853,4211,1858,1425,3116,4438,2215,2317,2387,212,196,718,147,1805,767,2554,2013,7650,662,3889,234,2072,765,2918,516,817,375,2909,1627,1545,4657,1007,1288,3360,2401,1551,4074,1469,4610,9640,1772,1368,1260,3106,1029,7433,4242,682,832,1786,5008,490,3517,2493,2664,631,9676,260,505,1586,1825,4435,725,4241,1064,771,553,2932,2509,3140,1222,1385,4984,1877,6035,127,3791,1698,3721,1592,1795,742,1371,8392,4387,1089,823,1898,5974,2157,2066,6236,5145,7493,4612,139,3222,13103,558,228,1845,1372,2980,1560,1463,767,1415,2155,2650,7974,1139,2397,3686,3468,389,222,990,430,1145,2197,7343,373,774,124,267,4103,127,89,1632,2596,2568,10332,2614,512,2403,120,5132,1616,5786,2565,4156,4141,7500,2527,4350,8663,984,920,1624,2406,1722,4902,3015,404,288,1138,3213,854,437,509,458,381,1755
