"","BRP564","BRP566","BRP567","BRP568","BRP569","BRP570","BRP571","BRP572","BRP528","BRP529","BRP534","BRP535","BRP536","BRP537","BRP538","BRP539","BRP540","BRP541","BRP542","BRP543"
"mt-Atp6",173,76,124,59,163,134,160,218,126,161,247,544,346,545,517,557,463,721,402,222
"mt-Atp8",5,9,1,1,2,2,1,3,10,6,15,32,13,10,11,19,12,18,3,3
"mt-Co1",10790,7139,8631,7220,11180,11277,11764,18116,12950,33503,32321,66714,29829,44550,48717,43675,36886,45819,33002,14352
"mt-Co2",207,88,149,70,228,178,219,335,169,310,320,530,280,391,496,383,314,383,198,126
"mt-Co3",55,40,29,39,87,75,132,138,40,53,97,151,68,134,156,81,78,95,65,53
"mt-Cytb",188026,78522,142664,74672,150651,117977,164531,196719,107034,222446,175611,295635,249041,422596,431265,334886,314891,345980,241414,95645
"mt-Nd1",58112,26215,58238,23710,47167,39007,54962,57074,35022,73211,58625,147230,89249,109053,148946,97012,90041,100166,81145,56298
"mt-Nd2",15044,5732,16667,8364,14106,12574,18967,21110,22045,73373,56590,123017,91201,99618,112333,78288,71698,83529,63859,25915
"mt-Nd3",31,15,13,20,39,28,55,63,18,24,28,110,53,54,61,43,34,44,20,18
"mt-Nd4l",1,0,0,1,0,0,0,1,3,0,2,12,6,6,5,2,4,6,4,2
"mt-Nd4",153413,71547,121657,56139,116621,87433,144496,191708,64207,137958,99676,190753,142759,253889,252047,190921,188027,240117,155137,53752
"mt-Nd5",13328,5816,11801,6196,11473,9617,9962,12381,25766,51741,60955,93893,78818,131933,112974,79018,63328,96457,67384,28871
"mt-Nd6",594,336,496,254,753,450,468,1028,677,1258,2591,2549,2736,3844,3162,2305,1676,2343,1730,1991
"mt-Rnr1",13956,5345,9703,8637,9912,16295,9532,23266,28580,68873,90090,204902,136926,196481,214512,192233,93655,173006,136895,60364
"mt-Rnr2",98542,36083,81578,58594,90789,123179,60812,154805,203568,558135,673224,1195426,756010,1258990,1250694,1005916,709097,1052631,789240,309454
"mt-Ta",4,0,17,0,14,16,0,1,5,14,2,23,9,5,29,87,4,27,16,9
"mt-Tc",4,0,2,1,2,3,1,5,7,4,29,32,14,44,38,17,10,26,13,7
"mt-Td",2,1,3,2,10,2,5,8,1,3,4,5,6,9,14,6,9,8,4,0
"mt-Te",4,3,6,6,1,3,29,0,4,12,7,25,11,23,35,54,9,13,12,6
"mt-Tf",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"mt-Tg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mt-Th",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mt-Ti",20,1,24,6,40,21,10,10,33,9,139,161,240,42,65,65,53,102,203,58
"mt-Tk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mt-Tl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mt-Tl2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"mt-Tm",1,2,2,7,5,14,9,1,13,9,2,13,9,13,17,3,9,4,16,18
"mt-Tn",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"mt-Tp",10,1,5,21,22,7,51,3,63,40,95,171,239,782,179,295,53,448,242,318
"mt-Tq",38,1,3,3,2,20,4,9,5,9,14,11,155,1034,16,479,18,13,16,418
"mt-Tr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mt-Ts1",0,1,0,0,2,1,1,0,2,5,6,7,4,0,4,3,4,3,3,4
"mt-Ts2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mt-Tt",42,1,23,0,2,478,197,73,199,374,1557,80,69,440,255,203,442,810,738,169
"mt-Tv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"mt-Tw",0,12,6,1,7,247,1,6,31,49,51,20,132,81,180,137,93,160,101,83
"mt-Ty",1,0,0,0,0,0,0,4,0,0,307,32,2,24,27,1,1,14,6,2
